asset_id,asset_class,asset_name,expected_or_actual_path,status,usable_scope,hard_blocker,next_action
P001,production_model,RG_OBGNET_CONFIRMED_SAFE_V1_1,C:\Users\27793\Documents\project1\deliverables\RG_OBGNet_source_v1\models\rg_obgnet_confirmed_safe_v1_1\MODEL.json,AVAILABLE_VERIFIED,production_anchor_and_single_machine_baseline,false,preserve_and_recheck_hash
P002,production_registry,KERNEL_REGISTRY.json,C:\Users\27793\Documents\project1\AI_Finance_Prototype\research_tracks\pit_information_incremental_v1\governance\KERNEL_REGISTRY.json,AVAILABLE_VERIFIED,registry_read_only_audit,false,recheck_before_any_promotion
P003,candidate,R26_runtime_paper_freeze,C:\Users\27793\Documents\project1\AI_Finance_Prototype\research_tracks\ap_tdsf_anchor_preserving_v1\audits\r26_runtime_paper_freeze_v1,AVAILABLE_PAPER_PASS_NOT_PROMOTED,train_validation_runtime_paper_evidence,false,independent_one_shot_test_then_fresh_governance
P004,original_incumbent,stock_node_gwnet_fixed_industry_l8,C:\Users\27793\Documents\project1\AI_Finance_Prototype\research_tracks\pit_information_incremental_v1\sources\incumbent_model_textcu_<delivery_version>,WAITING_FOR_SUPPLIER_COMPLETE_DELIVERY,architecture_reference_only,true,obtain_M01_to_M14_delivery_and_validate
P005,baseline_data,frozen_300_stock_universe,C:\Users\27793\Documents\project1\AI_Finance_Prototype\AI_Finance_Prototype\data\M5_FORMAL_STOCK_UNIVERSE_300.csv,AVAILABLE_LOCAL_BIND_REQUIRED,universe_binding_and_recomputation,false,record_hash_in_delivery_binding
P006,baseline_data,sequence_snapshot,C:\Users\27793\Documents\project1\AI_Finance_Prototype\research_tracks\rev7_proposal_guarded_graph_frequency_multimodal_v1\data\train_only_sequence_cube_v1,AVAILABLE_LOCAL_TRAIN_ONLY,protocol_and_structure_checks,true_for_original_incumbent_claim,bind_only_after_semantics_audit
P007,pit_data,CSMAR_PIT_fundamentals,C:\Users\27793\Documents\project1\AI_Finance_Prototype\research_tracks\pit_information_incremental_v1\frozen_inputs\csmar_pit_fundamentals_asof_300stocks_2023_2025_v1,PIT_CHAIN_AUDIT_PASS,independent_unlabeled_research_input,false,register_source_manifest_and_coverage
P008,pit_data,announcement_text_history,C:\Users\27793\Documents\project1\AI_Finance_Prototype\AI_Finance_Prototype\research_tracks\pit_information_incremental_v1\sources\pit_announcement_text_v1,RECEIVED_UNVERIFIED,possible_text_event_research_input,true,verify_published_at_versions_body_sha_coverage
P009,pit_data,Tushare_versioned_sources,C:\Users\27793\Documents\project1\AI_Finance_Prototype\AI_Finance_Prototype\research_tracks\pit_information_incremental_v1\sources\tushare_*,BLOCKED_INSUFFICIENT_ACCESS,not_formal_signal_source,true,obtain_higher_permission_or_compliant_export
P010,authorization,original_incumbent_audit_authorization,generated_after_M01_M14_validation,NOT_YET_AUTHORIZED,none,true,generate_fresh_one_shot_authorization_after_delivery
P011,authorization,R26_frozen_test_authorization,independent_custodian_one_shot,NOT_PRESENT_IN_CURRENT_WORK_PACKAGE,none,true,request_independent_custodian_signed_authorization
P012,authorization,FRESH_candidate_authorization,independent_custodian_one_shot,NOT_PRESENT_IN_CURRENT_WORK_PACKAGE,none,true,request_only_after_candidate_freeze_and_test_gate
P013,engineering,single_machine_runtime,deliverables/RG_OBGNet_source_v1,PARTIAL_RESEARCH_PROTOTYPE,local_demo_and_safe_anchor_inference,true,lock_environment_paths_and_replay_suite
P014,engineering,online_deployment,not_started,NOT_STARTED,none,false,begin_only_after_single_machine_acceptance


